,Value_Agt_0,Value_Agt_1,Value_Agt_2,Value_Agt_3
166,14.0,14.0,14.0,-182.0
167,20.0,20.0,20.0,-230.0
168,22.0,22.0,22.0,-222.0
169,2.0,2.0,2.0,-170.0
170,10.0,10.0,10.0,-238.0
171,12.0,12.0,12.0,-216.0
172,0.0,0.0,0.0,-152.0
173,0.0,0.0,0.0,-186.0
174,8.0,8.0,8.0,-200.0
175,2.0,2.0,2.0,-186.0
176,12.0,12.0,12.0,-170.0
177,10.0,10.0,10.0,-216.0
178,18.0,18.0,18.0,-170.0
179,4.0,4.0,4.0,-214.0
180,24.0,24.0,24.0,-182.0
181,16.0,16.0,16.0,-202.0
182,28.0,28.0,28.0,-204.0
183,10.0,10.0,10.0,-166.0
184,18.0,18.0,18.0,-184.0
185,6.0,6.0,6.0,-188.0
186,8.0,8.0,8.0,-184.0
187,18.0,18.0,18.0,-218.0
188,2.0,2.0,2.0,-230.0
189,16.0,16.0,16.0,-194.0
190,26.0,26.0,26.0,-210.0
191,0.0,0.0,0.0,-174.0
192,4.0,4.0,4.0,-162.0
193,20.0,20.0,20.0,-226.0
194,14.0,14.0,14.0,-186.0
195,4.0,4.0,4.0,-180.0
196,48.0,48.0,48.0,-252.0
197,18.0,18.0,18.0,-204.0
198,6.0,6.0,6.0,-120.0
199,12.0,12.0,12.0,-216.0
